<<<<<<< HEAD
Fuel,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EL3_1,1,2,2,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55
EL3_2,1,2,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
EL3_3,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5
EL3_4,0.159466095,0.24507868,0.334806939,0.514459443,0.702408627,0.159466095,0.24507868,0.334806939,0.514459443,0.702408627,0.988987035,1.380466173,1.884064806,2.410609963,3.059024847,3.938260533,4.546645572,4.652281245,4.760072747,4.86930147,4.980686022,5.094945015,5.210641227,5.32777466,5.438248973,5.551871482,5.665493992,5.779116501,5.892739011
EL3_5,0.328829407,0.449220501,0.690265648,0.942442697,0.942442697,0.213960438,0.328829407,0.449220501,0.690265648,0.942442697,1.326953533,1.852212821,2.527906194,3.234387605,4.10438528,5.284082141,6.100370574,6.24210512,6.386732208,6.533287657,6.682735648,6.836040362,6.991273436,7.148434872,7.296661567,7.449112292,7.601563017,7.754013742,7.906464467
=======
REF,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,ElecStart
1_0,0,0,0,0,0,0.226876848,0.348680252,0.476339143,0.731935756,0.999336285,1.407059355,1.964027611,2.680511389,3.429641826,4.352159711,5.603072771,6.468639083,6.618929892,6.77228786,6.9276906,7.0861605,7.248719946,7.413324165,7.579973157,7.737148034,7.898801938,8.060455841,8.222109745,8.383763649,0
2_0,0,0,0,0,0,0.100221793,0.154027881,0.210420603,0.323329219,0.44145216,0.621561932,0.867600071,1.18410345,1.51502834,1.922546329,2.47513136,2.857491257,2.923881523,2.991626693,3.060275131,3.130278473,3.202088353,3.274801502,3.348417919,3.417849191,3.489259052,3.560668913,3.632078773,3.703488634,0
3_0,0,0,0,0,0,0.11011998,0.169240109,0.231202334,0.355262123,0.485051219,0.682949139,0.953286697,1.301048842,1.664656806,2.112422419,2.719582304,3.139705141,3.212652297,3.28708817,3.362516522,3.439433591,3.518335617,3.598230121,3.679117103,3.755405603,3.833868103,3.912330603,3.990793102,4.069255602,0
4_0,0,0,0,0,0,0.159466095,0.24507868,0.334806939,0.514459443,0.702408627,0.988987035,1.380466173,1.884064806,2.410609963,3.059024847,3.938260533,4.546645572,4.652281245,4.760072747,4.86930147,4.980686022,5.094945015,5.210641227,5.32777466,5.438248973,5.551871482,5.665493992,5.779116501,5.892739011,0
5_0,0,0,0,0,0,0.213960438,0.328829407,0.449220501,0.690265648,0.942442697,1.326953533,1.852212821,2.527906194,3.234387605,4.10438528,5.284082141,6.100370574,6.24210512,6.386732208,6.533287657,6.682735648,6.836040362,6.991273436,7.148434872,7.296661567,7.449112292,7.601563017,7.754013742,7.906464467,0
6_0,0,0,0,0,0,0.029549566,0.045413845,0.062040772,0.095330942,0.130158513,0.183262388,0.255804695,0.349123095,0.446693558,0.566846862,0.729771982,0.84250763,0.86208225,0.882056353,0.902296776,0.922936682,0.94410923,0.9655481,0.987253291,1.003498894,1.023739317,1.043979741,1.064220164,1.084460588,0
7_0,0,0,0,0,0,0.016468676,0.025310216,0.034576798,0.053130202,0.072540435,0.102136488,0.142566041,0.194574605,0.248952945,0.315917239,0.406719284,0.469549542,0.480458943,0.491590986,0.502871455,0.514374565,0.52617453,0.538122922,0.550219741,0.559273802,0.570554272,0.581834741,0.593115211,0.60439568,0
8_0,0,0,0,0,0,0.256478104,0.394173538,0.538488439,0.827433456,1.129722478,1.590642315,2.220279773,3.030245189,3.877116764,4.919998131,6.334121308,7.312620472,7.482520142,7.655887151,7.831565721,8.010711631,8.194480662,8.380561252,8.568953403,8.746635325,8.929380664,9.112126004,9.294871343,9.477616683,0
19_0,0,0,0,0,0,0.117476378,0.180545937,0.246647455,0.378994869,0.517454328,0.728572518,1.016969566,1.387963433,1.775861674,2.253539589,2.901259868,3.349448372,3.427268652,3.506677101,3.587144329,3.669199726,3.753372682,3.838604417,3.924894931,4.006279768,4.089983836,4.173687904,4.257391972,4.341096039,0
20_0,0,0,0,0,0,0.739402232,1.136365208,1.552411486,2.385412771,3.25688357,4.585672074,6.400857602,8.735911658,11.1773627,14.18389152,18.26067553,21.08159652,21.57140128,22.07120205,22.57766683,23.09412763,23.62391644,24.16036927,24.70348611,25.21572637,25.74256398,26.26940159,26.7962392,27.32307682,0
20_1,10.86015019,10.86015019,11.24323123,12.02232998,13.26568129,14.27915278,15.43656337,16.66038672,17.84282619,19.34839593,20.42647838,21.42304569,22.33228998,23.29528032,24.16148612,24.78034918,26.08220504,28.15144506,30.39459467,32.82837441,35.48784758,38.37216463,41.5350952,44.69252439,47.26784628,50.13910708,53.01036788,55.88162868,58.75288948,1
21_0,0,0,0,0,0,0.133362931,0.204961506,0.280002058,0.430247064,0.587430658,0.827098761,1.154496289,1.57566036,2.016014816,2.55829002,3.293602741,3.802400626,3.89074469,3.980891694,4.072240658,4.165392562,4.260948387,4.357706171,4.455665915,4.548056578,4.643080105,4.738103633,4.833127161,4.928150688,0
21_1,3.498735182,3.498735182,3.618920192,3.870848032,4.274872602,4.602614266,4.977410447,5.373814729,5.75573008,6.243352299,6.590440893,6.9104644,7.201505487,7.509820042,7.785972098,7.980581387,8.398454512,9.067599666,9.79314742,10.58052857,11.4412143,12.37484836,13.39904862,14.42086231,15.25438513,16.18374995,17.11311477,18.04247959,18.97184441,1
22_0,0,0,0,0,0,0.218439448,0.335713064,0.458624405,0.704715549,0.962171629,1.354731748,1.890986723,2.580824943,3.302095715,4.190305769,5.3946982,6.228074673,6.372776266,6.520430953,6.670054368,6.822630877,6.979144845,7.137627542,7.298078968,7.449408615,7.605050717,7.760692819,7.916334921,8.071977023,0
22_1,1.223949618,1.223949618,1.266072866,1.354180964,1.495434274,1.61005648,1.741122816,1.879743014,2.013323028,2.183842607,2.305268966,2.417247003,2.519107124,2.627010978,2.723687682,2.791884249,2.938105019,3.172127831,3.425872529,3.701237866,4.002232462,4.32873372,4.686897573,5.04424164,5.335735225,5.660744537,5.985753849,6.310763162,6.635772474,1
23_0,0,0,0,0,0,0.111515154,0.17138431,0.234131572,0.359763147,0.491196616,0.69160182,0.965364443,1.31753259,1.685747316,2.139185933,2.754038282,3.1794839,3.253355266,3.328734211,3.405118209,3.483009785,3.562911467,3.643818201,3.725729988,3.802985032,3.882441619,3.961898206,4.041354793,4.120811379,0
23_1,1.554659065,1.554659065,1.608008892,1.71996839,1.89955443,2.045206884,2.211779428,2.387957075,2.557677154,2.774394944,2.92861952,3.07080425,3.200096393,3.337063284,3.459722308,3.546116681,3.73177233,4.029148448,4.351593304,4.701520805,5.084031105,5.498964515,5.954154473,6.408273647,6.778713254,7.191748572,7.60478389,8.017819208,8.430854526,1
24_0,0,0,0,0,0,0.028438338,0.043706033,0.059707695,0.091745971,0.125263832,0.176370706,0.246185021,0.335994132,0.429895405,0.545530279,0.702328512,0.810824675,0.829663181,0.848886147,0.868365418,0.888229149,0.908605492,0.929238141,0.950127097,0.965761775,0.985241047,1.004720318,1.02419959,1.043678861,0
25_0,0,0,0,0,0,0.018099779,0.027817009,0.038001379,0.058392363,0.079725039,0.112252366,0.156686173,0.213845808,0.273609928,0.347206549,0.447001878,0.516055018,0.528044916,0.540279506,0.552677224,0.565319634,0.5782883,0.591420094,0.604715015,0.614665815,0.627063533,0.639461251,0.651858969,0.664256688,0
26_0,0,0,0,0,0,0.010987542,0.016886426,0.023068887,0.035447315,0.048397401,0.068143243,0.095116962,0.129815944,0.16609599,0.21077311,0.271354259,0.313273241,0.320551756,0.327978813,0.335504897,0.343179522,0.351052202,0.359023909,0.367094643,0.373135316,0.3806614,0.388187484,0.395713568,0.403239651,0
27_0,0,0,0,0,0,0.014595972,0.022432114,0.030644964,0.047088603,0.06429164,0.090522234,0.126354419,0.17244893,0.220643742,0.279993321,0.360469986,0.416155624,0.425824483,0.435690667,0.4456884,0.455883456,0.466341611,0.476931314,0.487652567,0.495677063,0.505674796,0.515672529,0.525670261,0.535667994,0
28_0,0,0,0,0,0,0.044539273,0.068451078,0.093512402,0.143689788,0.196184457,0.276226511,0.385567597,0.526223934,0.673289291,0.854393162,1.099965852,1.26988929,1.299393593,1.329500024,1.360007875,1.391117855,1.423030672,1.455344909,1.488060565,1.518916312,1.550651358,1.582386405,1.614121451,1.645856497,0
29_0,0,0,0,0,0,0.021584647,0.033172799,0.045318032,0.069635025,0.095075021,0.133865045,0.186853983,0.255018935,0.326289831,0.41405649,0.533066063,0.615414454,0.629712846,0.644303041,0.659087773,0.674164308,0.689629916,0.705290059,0.721144738,0.733011431,0.747796163,0.762580894,0.777365626,0.792150357,0
30_0,0,0,0,0,0,0.705546622,1.084333532,1.481329962,2.276189942,3.107758001,4.375704188,6.107776344,8.335913387,10.66557573,13.53444217,17.42455917,20.11631637,20.58369403,21.06061002,21.54388489,22.03669808,22.54222902,23.05411885,23.57236756,24.06115345,24.56386833,25.0665832,25.56929807,26.07201294,0
31_0,0,0,0,0,0,0.925353496,1.422148152,1.942825344,2.985316993,4.075952801,5.738916524,8.010600597,10.93289423,13.98834248,17.75097915,22.85302805,26.38337863,26.99636372,27.62185871,28.25569363,28.90203846,29.56506314,30.23642777,30.91613232,31.55719518,32.21652647,32.87585776,33.53518905,34.19452034,0
32_0,0,0,0,0,0,0.442949141,0.680755306,0.929993588,1.429014537,1.951081182,2.747110327,3.834522342,5.233368795,6.695953832,8.497056536,10.93931043,12.62922219,12.92264651,13.22205908,13.52546382,13.83485681,14.15223413,14.47360362,14.79896528,15.1058299,15.42143926,15.73704862,16.05265799,16.36826735,0
33_0,0,0,0,0,0,0.69291027,1.0649131,1.454799317,2.235423341,3.052098001,4.297335251,5.998385964,8.186617034,10.47455508,13.29204008,17.11248502,19.75603279,20.21503972,20.68341413,21.15803354,21.64202043,22.13849731,22.64121918,23.15018605,23.63021778,24.12392902,24.61764026,25.1113515,25.60506274,0
34_0,0,0,0,0,0,1.176263288,1.807763918,2.469622839,3.794786314,5.181148247,7.295024928,10.18267661,13.89735077,17.78128444,22.56416083,29.04963135,33.53723722,34.31643334,35.11153143,35.91723082,36.73883217,37.58163614,38.43504142,39.29904801,40.1139352,40.9520443,41.79015341,42.62826251,43.46637162,0
35_0,0,0,0,0,0,0.203471031,0.312708551,0.427197474,0.656425386,0.896239461,1.261899659,1.761408119,2.403975636,3.075821809,3.903167863,5.025030106,5.801300013,5.936086025,6.073622773,6.212993344,6.35511465,6.500903602,6.648526378,6.797982977,6.938942861,7.083919692,7.228896522,7.373873353,7.518850184,0
36_0,0,0,0,0,0,0.382870215,0.588421799,0.803854917,1.235191702,1.686448403,2.374509,3.314431066,4.523546499,5.787755402,7.344567496,9.455568933,10.91627135,11.16989738,11.42869945,11.69095221,11.95838102,12.23271121,12.5104921,12.79172369,13.05696705,13.32976909,13.60257112,13.87537315,14.14817518,0
37_0,0,0,0,0,0,0.13992261,0.21504288,0.293774427,0.451409485,0.616324417,0.867780996,1.211282118,1.653161847,2.115175873,2.684123789,3.455604095,3.989428055,4.082117469,4.176698504,4.272540619,4.370274355,4.470530252,4.57204723,4.674825288,4.77176034,4.871457758,4.971155177,5.070852595,5.170550014,0
37_1,0.555225106,0.555225106,0.574278264,0.614263059,0.678399743,0.730417514,0.789906608,0.852826031,0.913439224,0.990837002,1.045916189,1.09669551,1.142870421,1.191786263,1.235592246,1.266446808,1.332751171,1.438954962,1.554111708,1.679083503,1.815691797,1.963879558,2.126444392,2.28862681,2.420924222,2.568434106,2.71594399,2.863453874,3.010963758,1
38_0,0,0,0,0,0,0.052687071,0.080973186,0.110619106,0.1699757,0.232073489,0.326758048,0.456101462,0.622488786,0.796457567,1.010691701,1.301188267,1.502196674,1.537098351,1.572712307,1.608801116,1.645602204,1.683352998,1.721578644,1.760279143,1.796779491,1.834319993,1.871860494,1.909400996,1.946941498,0
39_0,0,0,0,0,0,0.086263205,0.132575344,0.181113858,0.278296904,0.379968039,0.534992667,0.746763358,1.019185105,1.304019777,1.654779893,2.130402554,2.45950852,2.516652151,2.574961979,2.63404927,2.694302759,2.756111176,2.818697057,2.882060403,2.941821497,3.003285609,3.06474972,3.126213832,3.187677943,0
39_1,3.816417273,3.816417273,3.94738181,4.222222879,4.663075334,5.020626743,5.429533332,5.862018776,6.278652014,6.81065645,7.189250927,7.538289679,7.855679374,8.191909241,8.493015783,8.705098924,9.160851214,9.890857797,10.68240377,11.54141485,12.48041102,13.49900029,14.61641236,15.73119585,16.64056058,17.65449036,18.66842014,19.68234992,20.6962797,1
40_0,0,0,0,0,0,0.104966443,0.161319792,0.22038223,0.338636109,0.462351167,0.650987605,0.908673559,1.240160683,1.586752053,2.013562554,2.59230779,2.992769177,3.062302458,3.133254785,3.205153144,3.278470549,3.353680016,3.429835515,3.506937044,3.579655296,3.654445807,3.729236317,3.804026828,3.878817339,0
41_0,0,0,0,0,0,0.023050109,0.035425025,0.048394842,0.074362806,0.101530018,0.142953643,0.199540197,0.272333122,0.348442864,0.442168329,0.569257907,0.657197237,0.6724664,0.688047178,0.7038357,0.719935838,0.736451463,0.753174832,0.770105945,0.782778311,0.798566834,0.814355356,0.830143878,0.8459324,0
42_0,0,0,0,0,0,0.037754676,0.058024034,0.079267806,0.121801751,0.16629999,0.234149365,0.326834697,0.446065077,0.570728202,0.724244809,0.9324098,1.076449071,1.10145903,1.126979397,1.152840035,1.179211081,1.20626267,1.23365453,1.261386662,1.282143227,1.308003865,1.333864503,1.359725142,1.38558578,0
43_0,0,0,0,0,0,0.152501098,0.234374384,0.320183585,0.49198941,0.671729542,0.945791071,1.320171584,1.801774552,2.305321808,2.92541589,3.76624922,4.34806184,4.449083666,4.552167161,4.656625103,4.763144715,4.872413221,4.983056172,5.095073571,5.2007227,5.309382522,5.418042344,5.526702165,5.635361987,0
44_0,0,0,0,0,0,0.011891907,0.018276317,0.024967647,0.038364921,0.052380905,0.073751993,0.10294587,0.140500865,0.179767057,0.228121472,0.293688948,0.339058207,0.346935804,0.354974169,0.363119711,0.371426021,0.379946687,0.388574532,0.397309554,0.403847424,0.411992966,0.420138509,0.428284051,0.436429594,0
45_0,0,0,0,0,0,0.000345855,0.000531534,0.000726139,0.001115775,0.001523404,0.002144944,0.002993995,0.004086215,0.005228201,0.006634503,0.008541415,0.009860898,0.010090004,0.010323785,0.010560683,0.010802257,0.011050066,0.011300991,0.011555033,0.011745176,0.011982074,0.012218973,0.012455871,0.012692769,0
46_0,0,0,0,0,0,0.040510821,0.06225987,0.085054468,0.13069345,0.178440124,0.251242599,0.350694091,0.478628458,0.612392167,0.777115702,1.000477032,1.155031372,1.181867094,1.209250484,1.236998985,1.265295154,1.294321547,1.323713052,1.353469669,1.375741492,1.403489994,1.431238495,1.458986996,1.486735498,0
47_0,0,0,0,0,0,0.091223688,0.140198962,0.191528636,0.2943001,0.401817736,0.565756906,0.789705267,1.077792365,1.379006181,1.749936421,2.252909305,2.600940195,2.661369815,2.723032693,2.785517743,2.84923605,2.914598701,2.980783523,3.047790517,3.110988116,3.175986662,3.240985208,3.305983754,3.3709823,0
47_1,0.000690141,0.000690141,0.000713824,0.000763525,0.000843246,0.000907904,0.000981849,0.001060057,0.001135399,0.001231604,0.001300067,0.001363185,0.001420581,0.001481383,0.001535833,0.001574185,0.001656601,0.001788612,0.001931751,0.00208709,0.002256893,0.00244109,0.002643157,0.002844748,0.002863786,0.003019125,0.003174464,0.003329803,0.003485142,1
48_0,0,0,0,0,0,0.666202944,1.023867409,1.398725969,2.149261854,2.934458852,4.13170005,5.767185975,7.871074524,10.07082697,12.77971568,16.45290653,18.99456219,19.43587729,19.88619882,20.34252464,20.80785689,21.28519771,21.76854283,22.25789222,22.71942176,23.19410354,23.66878532,24.1434671,24.61814888,0
48_1,10.2668426,10.2668426,10.65389221,11.38324782,12.53197373,13.4805259,14.55989025,15.70040176,16.81070686,18.21410507,19.23505823,20.18514762,21.05923912,21.98446045,22.82575638,23.44754772,24.69012476,26.6269433,28.72527619,31.00059083,33.48468501,36.17739207,39.12726761,42.07667764,44.48162269,47.16247254,49.84332238,52.52417223,55.20502208,1
49_0,0,0,0,0,0,0.572183884,0.879372323,1.20132831,1.845943501,2.520328193,3.548606625,4.953281727,6.760255309,8.649563832,10.97615586,14.1309612,16.31392125,16.69295498,17.07972409,17.47165013,17.87131155,18.28128681,18.69641899,19.1167081,19.51310346,19.92079495,20.32848643,20.73617791,21.14386939,0
49_1,7.201644706,7.201644706,7.50471777,8.007215497,8.77912155,9.432365452,10.17069137,10.94983199,11.71909394,12.67823766,13.39662468,14.07316589,14.70471218,15.37252919,15.99108061,16.47383103,17.36045492,18.694455,20.13807783,21.70174215,23.40604016,25.25166229,27.26978025,29.29357777,30.94287035,32.78079139,34.61871242,36.45663345,38.29455449,1
50_0,0,0,0,0,0,1.138751891,1.750113773,2.39086581,3.673769415,5.015919842,7.062384348,9.857947931,13.45415999,17.21423383,21.84458283,28.1232297,32.46772444,33.22207176,33.99181393,34.77181932,35.56721956,36.38314625,37.20933617,38.04578932,38.83468951,39.64607106,40.45745261,41.26883416,42.08021571,0
51_0,0,0,0,0,0,0.748208552,1.149899379,1.570900791,2.413823167,3.29567323,4.640287678,6.477092164,8.839956841,11.31048569,14.35282244,18.47816117,21.33267948,21.82831784,22.33407127,22.84656807,23.36917994,23.90527857,24.44812058,24.99770597,25.51604704,26.04915932,26.58227159,27.11538387,27.64849615,0
51_1,14.36353243,14.36353243,14.85643277,15.89082926,17.550029,18.89571551,20.43468325,22.06239276,23.63044064,25.63270152,27.05758608,28.37123421,29.56576742,30.83120782,31.96445749,32.76265717,34.47793418,37.22539927,40.20447504,43.43746363,46.97148548,50.80506521,55.01057616,59.20619412,62.62869455,66.44473777,70.26078099,74.07682421,77.89286743,1
52_0,0,0,0,0,0,0.635253884,0.976302722,1.333746888,2.04941595,2.79813591,3.939758185,5.499266132,7.505416633,9.602977593,12.18602242,15.68857187,18.11215262,18.53296602,18.96236746,19.39749425,19.84120907,20.29637459,20.75726547,21.2238817,21.66397046,22.11660047,22.56923048,23.02186049,23.4744905,0
53_0,0,0,0,0,0,0.976889769,1.501352711,2.051028293,3.15158006,4.302957309,6.058537478,8.456739829,11.54178653,14.76740371,18.73959519,24.12579559,27.85276412,28.49988856,29.16021962,29.8293551,30.51169719,31.21164812,31.92040345,32.63796321,33.31472917,34.010781,34.70683283,35.40288465,36.09893648,0
54_0,0,0,0,0,0,0.68282566,1.049414364,1.43362618,2.202889009,3.007677794,4.234791871,5.911085508,8.067469082,10.3221085,13.09858785,16.86343006,19.46850366,19.92083021,20.38238791,20.8500997,21.32704266,21.81629382,22.31169908,22.81325844,23.2863038,23.77282957,24.25935534,24.74588111,25.23240688,0
55_0,0,0,0,0,0,0.412194272,0.633489066,0.865422222,1.329795121,1.815613606,2.556372812,3.568283576,4.870005244,6.231039997,7.907088439,10.17977162,11.75234934,12.02540061,12.30402435,12.58636307,12.87427427,13.16961543,13.46867158,13.77144271,14.05700108,14.35069704,14.644393,14.93808895,15.23178491,0
56_0,0,0,0,0,0,0.256355881,0.393985697,0.538231827,0.827039149,1.129184117,1.589884306,2.219221715,3.028801148,3.875269153,4.917653543,6.331102831,7.309135698,7.478954403,7.652238796,7.827833648,8.006894187,8.190575644,8.376567559,8.564869933,8.742467182,8.925125435,9.107783689,9.290441942,9.473100196,0
